Latitude,Longitude
12.13636, 46.53773
108.2, 53.5
-2.9236, 43.2569
77.773, 43.5189
77.773, 43.5189
42.7164, 42.2622
44.71666667, 39.91666667
147.88673221, 45.1009053
37.20678283, 19.61856371
2.891939, 36.771935
-0.17114403, 5.60683637
-0.19210125, 5.56041471
-0.19174576, 5.56018304
-0.19178252, 5.56014852
-0.19182845, 5.56025823
-0.19180469, 5.56022509
-0.19175164, 5.56019716
-0.19177319, 5.56020936
-0.19179582, 5.56023476
-0.19173222, 5.56021651
-0.19180271, 5.56022173
-0.1917864, 5.56022118
-0.19179826, 5.56024372
-0.19179088, 5.56025924
-0.19177867, 5.56042654
-0.1917599, 5.56025194
-0.19177892, 5.5602486
-0.19172671, 5.56019377
-0.19172288, 5.56019184
-0.19170788, 5.56019239
-0.19167639, 5.56017936
-0.19167701, 5.56013581
-0.19169302, 5.56015224
-0.19173443, 5.5601734
-0.19173072, 5.5601837
-0.19171776, 5.56017926
-0.19169439, 5.56033444
-0.19187802, 5.56019523
-0.19177212, 5.56021343
-0.19188594, 5.56025469
-0.19177996, 5.56019913
-0.19173578, 5.56021186
-0.19182253, 5.56023076
-0.19175993, 5.56025774
-0.19168398, 5.56021648
28.26554155, -25.79565184
28.273059, -25.775124
57.54631002, -20.02920534
57.50704927, -20.14890227
57.53228786, -20.28157022
-0.191744, 5.56020772
-1.62509101, 6.68270964
-0.19142893, 5.56026867
-0.19140799, 5.56039169
-0.19134924, 5.56036588
-0.19168195, 5.56020144
-1.27934438, 5.14511157
-1.27768221, 5.15231629
11.51547046, 3.8644851
11.51546973, 3.86446984
11.51547034, 3.86440269
11.51545615, 3.86442546
11.51545667, 3.86442095
11.51547837, 3.8644219
11.51547779, 3.86441958
11.51548176, 3.86440823
-0.19192725, 5.56070317
-0.19199575, 5.56095054
-0.19180954, 5.56022331
-0.19179914, 5.56020403
-0.19199888, 5.56094949
-0.19209279, 5.56056804
-0.19197685, 5.56018786
-0.18943415, 5.57334993
-0.18632739, 5.58009321
-0.18510566, 5.58271183
-0.18165266, 5.5896483
-0.17962621, 5.59953618
-0.20243103, 5.55385824
-0.20254286, 5.55388026
-0.2025378, 5.5539395
-0.19163487, 5.56022482
-0.24045017, 5.54779612
-0.19178473, 5.56020785
-0.17184124, 5.60604021
-0.19166673, 5.56021586
-0.19155356, 5.56028341
-0.50358647, 51.47109853
-84.38770883, 33.76097145
4.36510658, 50.85325025
-1.27930063, 5.14513567
-5.25735564, 6.80217865
-5.2521233, 6.80203994
-0.19175707, 5.56019653
-0.19177308, 5.56023576
-0.19170224, 5.56018138
-0.19171889, 5.56022196
-0.19180887, 5.56025655
-0.19180653, 5.56015785
-0.1791044, 5.60588782
-0.19170106, 5.56019302
-0.19169803, 5.56018462
-0.19171163, 5.56024262
-0.19172744, 5.56024175
-0.1917037, 5.56023068
-0.1807963, 5.60510166
-0.05713742, 5.6682774
-0.18786419, 5.57661765
-0.19744351, 51.50902807
-0.19583888, 51.50913054
-0.16284868, 51.52179582
-0.17158994, 5.60606769
-0.17182792, 5.60616292
-0.1716483, 5.60602492
-0.19606885, 5.54952968
-0.19603419, 5.54961643
-0.19212496, 5.55482071
-0.19181457, 5.56014347
-0.19186202, 5.56015135
-0.19186812, 5.56022222
27.92853112, -24.73802653
27.92853699, -24.73805536
27.9285566, -24.73807799
27.9285566, -24.73807799
27.92858058, -24.73801714
