Latitude,Longitude,text,person
 8.995,38.7653,"""#ህይወት ያለው #በእግዚአብሔር_ቃል ነው እንጂ በአሮጊቶች ተረት… https://t.co/ncakcBFZ8d",Abiy Taddele (kiya)
 9.01459536,38.75196962,"#Coming_soon!
Amazing life testimony!
#NCIC_Eagle_Band
#kiya_talk_show #Abiy_Taddele @ New… https://t.co/jYj9GLkWsb",Abiy Taddele (kiya)
 8.995,38.7653,"#ETHIOPIA
#አማኝ ከሆንክ በ#ፍቅር ተገለጥ!
እምነትህ ያለ ፍቅር ከንቱ ነው።
#kiya_talk_show
#Abiy_Taddele @ Addis… https://t.co/MTOl9NkN4O",Abiy Taddele (kiya)
 8.99595361,38.78608222,#Blessed_Pastor! @ Harmony Hotel Addis Ababa https://t.co/JbufiX2BKz,Abiy Taddele (kiya)
 8.99595361,38.78608222,#Blessed_Pastor! @ Harmony Hotel Addis Ababa https://t.co/JbufiWL0T1,Abiy Taddele (kiya)
 9.03,38.74,"""ነገር ግን፦ ዓይን ያላየችው ጆሮም ያልሰማው በሰውም ልብ ያልታሰበው እግዚአብሔር ለሚወዱት ያዘጋጀው ተብሎ እንደተጻፈ፥ እንዲህ እንናገራለን።""
1ቆሮ… https://t.co/jQrfvxJDaR",Abiy Taddele (kiya)
 9.03,38.74,"— #ለመዳን #በክርስቶስ_ማመን እንጂ #ክርስቶስን_አውቃለሁ ማለት #አይጠቅምም።
— #በልብህ ከአመንክ #በአፍህ ስለ እርሱ/#ክርስቶስ/ #መስክር።
—… https://t.co/DOFHkLn0K1",Abiy Taddele (kiya)
 9.03,38.74,"ከእግዚአብሔር ከተወለድክ፤ በእርሱ ዘንድ የሌለ ጨለማ፣ ጥላቻ፣ ሀሜት፣ እና ወሬ በአንተ ዘንድ ምን ያደርጋል? @ Addis Ababa, Ethiopia https://t.co/FqY8aEH4V9",Abiy Taddele (kiya)
 9.01459536,38.75196962,የከበበህን/ሽን ማንኛውም የዓለም ሁኔታ ህመም፣ ጭንቀት፣ ድህነት፣ ግራ መጋባት፣ ሌላም ሊሆን ይችላል፤ ማሸነፍ የምትችልበት/ችይበት እምነት በኢየሱስ ስም… https://t.co/81ATLC2w55,Abiy Taddele (kiya)
 8.98314028,38.7966505,"#Beloved_bro's @ Sheraton Addis, a Luxury Collection Hotel https://t.co/T0YYaRlpsO",Abiy Taddele (kiya)
