Latitude,Longitude
 8.9975976,38.79063108
 8.99728719,38.80723643
 8.99629837,38.80723643
 8.99167239,38.80672005
 8.99571857,38.80723643
 8.99517881,38.80739311
 8.99098647,38.78927011
 8.99525604,38.80723643
 9.07238899,38.73832825
 8.99525604,38.80723643
 8.99517881,38.80739311
 8.99517881,38.80739311
 8.99517881,38.80739311
 8.99571857,38.80723643
 8.99561504,38.80723643
 8.99134227,38.80723643
 8.995622,38.80723643
 8.99399098,38.80723643
 8.99799699,38.80723643
 9.00577023,38.78247294
 9.00577023,38.78247294
 8.9898309,38.79687125
 9.07274414,38.73831834
 8.99402736,38.79026957
 8.99531811,38.78863687
 8.99531811,38.78863687
 8.99276419,38.78927011
 8.99276419,38.78927011
 9.00079212,38.78454827
 8.99984423,38.779666
 8.99098647,38.79733662
 9.07267345,38.73825855
 9.07267345,38.73825855
 8.99268246,38.78946003
 8.99862473,38.78596914
 8.99870953,38.78583002
 9.00016007,38.78758949
 9.00079332,38.78454861
 9,38.78028696
 8.99581796,38.79472277
 8.99565419,38.80146154
 9.0113717,38.78937457
 9.01864159,38.79260477
 9.0113717,38.78937457
 9.0113717,38.78937457
 8.99231944,38.79370717
 9.00000969,38.80868373
 9.04761018,38.74683373
 8.99373196,38.79509877
 8.99373196,38.79509877
 8.99098647,38.7924441
 8.99098647,38.7924441
 8.99373196,38.79509877
 8.9935221,38.79510705
 8.99266601,38.79351061
 8.99360085,38.79507804
 8.99373196,38.79509877
 8.99359956,38.79507839
 8.99253342,38.7913052
 8.99609946,38.80808884
 8.99609946,38.80808884
 9.0114669,38.78927011
 9.0114669,38.78927011
 9.02149367,38.80267314
 9.00015361,38.78761629
 9.00088995,38.78474595
 9.00015361,38.78761629
 9,38.77975553
 8.98681852,38.79453259
 8.98681852,38.79453259
 8.99372937,38.79509947
 8.9926253,38.7935867
 8.9926253,38.7935867
 8.99372937,38.79509947
 8.99261032,38.79135758
 8.99372431,38.79510119
 9.00126436,38.7811235
 9.00126436,38.7811235
 9.00126436,38.7811235
 8.99562684,38.79285343
 8.99280943,38.80229064
 8.99280943,38.80229064
 9.00093948,38.78248988
 9.00122636,38.78238241
 9.00811638,38.76271413
 8.99098647,38.77981779
 8.9926318,38.79136143
 8.9926318,38.79136143
 8.9926318,38.79136143
 8.99580405,38.80897885
 8.99262336,38.78927011
 8.99209199,38.7947039
 9.07481221,38.73537117
 9.00947183,38.79497975
 8.99971764,38.78673751
 9.01229116,38.78957636
 8.99098647,38.77999122
 8.99559804,38.8086988
 9.01662742,38.75688053
 8.99555793,38.80852588
 8.99555793,38.80852588
 8.99555793,38.80852588
 9.00912929,38.80412041
 8.98872248,38.79279046
 8.99531296,38.80993137
 8.97941688,38.77108034
 8.98820289,38.77526696
 9.0174112,38.7573548
 9.01691498,38.75759574
 8.99108017,38.78912071
 8.99108017,38.78912071
 9.01802704,38.75497605
 9.01264597,38.76232064
 8.99650763,38.80804119
 9.0359188,38.7664297
 8.9923259,38.7601704
 8.9940425,38.7906174
 9.0104112,38.8046732
 8.9950715,38.7668536
 9.0144145,38.7671884
 9.0142074,38.767619
