Latitude,Longitude,Date,Text,Person,Original BBX,location,BBX method flag
38.763427,9.032626,Sat Jul 17 23:12:14 +0000 2021,Ere weyoooo violation 😭🤣🤣🤣 https://t.co/Km1E0dG69q,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.796152,8.983055,Sun Jul 18 05:33:26 +0000 2021,Par contre c’est long. 😩,elyshambiye,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
38.763427,9.032626,Sun Jul 18 07:47:48 +0000 2021,our airlines keeps on surprising they really did that I have mad respect for them can't wait to see our airlines on… https://t.co/QFE9N3Y4Fo,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.763427,9.032626,Sun Jul 18 07:56:02 +0000 2021,Proud of our country 🇪🇹 and Africa keep going 👌👍👍👍,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.7653,8.995,Sun Jul 18 10:26:03 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/1BZ8IIpb4T,yama_tar,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Sun Jul 18 12:06:17 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/S3VNGRsiVU,Mankira_Picture,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Sun Jul 18 14:06:21 +0000 2021,🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴Rastafari rules &amp; reigns! ✊🏿#talktomenice 😅 @ Addis Ababa Ethiopia https://t.co/VxnWN8XmJm,StrykerRegal,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Sun Jul 18 15:11:59 +0000 2021,"Sneak peek from ""አንቺ ሎጋ"" @ Addis Ababa Ethiopia https://t.co/Vlx8PRaQlG",Blizzar66854314,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.763427,9.032626,Sun Jul 18 18:05:05 +0000 2021,ዛሬ ሰአቱ በሰላም ነው መንቀሳቀሰ አቆመ እኮ😅🙄,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.7653,8.995,Sun Jul 18 19:01:33 +0000 2021,Sunday vibe be like @ home #addisababa #summer #summertime #summervibes #ethiopia #sunday @ Addis Ababa Ethiopia https://t.co/QrvMss2nSR,HistoryofRobel,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Sun Jul 18 23:22:19 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/eKgP7LdOmN,Bereket5286,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.851749,9.030887,Mon Jul 19 01:21:51 +0000 2021,You must be a sick man if you believe in love,younesalarami,38.851749 9.030887] [38.851749 9.030887] [38.851749 9.030887] [38.851749 9.030887,American Medical Center,True
38.7653,8.995,Mon Jul 19 08:19:19 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/SLExXAOVmD,HomesShoa,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7577605,8.9806034,Mon Jul 19 10:02:00 +0000 2021,"If jobs with titles like ""Regional Market Development Manager Public Health"" sound appealing to you follow us to… https://t.co/hfQTFsZOmj",tmj_eth_jobs,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 10:05:03 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/F1tHuZU7Nw,Mankira_Picture,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 10:24:18 +0000 2021,The @qenegames team part uno.#photoshoot📸 #gamers #websitephotoshoot #creators #portraits #gaming #coders… https://t.co/tYCFW7ZgHm,Mankira_Picture,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 10:29:51 +0000 2021,The @qenegames team part dos(two)#photoshoot📸 #gamers #websitephotoshoot #portrait #creators #gaming #coders… https://t.co/1kScZGivQp,Mankira_Picture,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.75241,9.035823,Mon Jul 19 11:00:12 +0000 2021,#EthiopiaPrevails #GERD2ndFillDone #Ethiopians #proud gena gena yemolal gena https://t.co/VrXOEpkOz1,NigatuTsigereda,38.75241 9.035823] [38.75241 9.035823] [38.75241 9.035823] [38.75241 9.035823,Minilik Square | ምንሊክ አደባባይ,True
38.760003,9.020304,Mon Jul 19 11:18:18 +0000 2021,Great and lively discussions at the #FEACC workshop. Upcoming topic the draft National Anti Corruption Policy &amp; Str… https://t.co/xg5etj78qZ,BugbyDonna,38.760003 9.020304] [38.760003 9.020304] [38.760003 9.020304] [38.760003 9.020304,Sheraton Addis,True
38.7653,8.995,Mon Jul 19 12:13:30 +0000 2021,በጌታ እጅግ ከተወደዱ አገልጋይ ወንድሞቼ ጋር አዲስ አበባ ላይ ❤️❤️❤️❤️ I love you all @ Addis Ababa Ethiopia https://t.co/WL6xc50uKj,sampac2004,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 12:15:47 +0000 2021,ሸዋ ሆምስ መልካም በዓል ይመኝሎታል @ Addis Ababa Ethiopia https://t.co/5g2VLFsdIu,HomesShoa,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.716933,9.005832,Mon Jul 19 12:57:52 +0000 2021,@AtomsaGedyon @Kally59527547 Great Success,I_fisseha,38.716933 9.005832] [38.716933 9.005832] [38.716933 9.005832] [38.716933 9.005832,Kaldis,True
38.7653,8.995,Mon Jul 19 13:35:33 +0000 2021,Keep Working 😉 @ Addis Ababa Ethiopia https://t.co/oZ2tgyxoX7,YafHen,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.79144,8.99267,Mon Jul 19 14:11:20 +0000 2021,Just posted a photo @ Abissiya Building https://t.co/VQS8F6SXpS,sampac2004,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 15:08:15 +0000 2021,Happy 2nd Birthday Eyoel Abinet @ Addis Ababa Ethiopia https://t.co/wcwSi5pj1G,sisay_abinet,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.843894,9.020454,Mon Jul 19 15:24:41 +0000 2021,Sunshine after rain 😍 https://t.co/Dm99BpNOxF,isaiasmatewos,38.843894 9.020454] [38.843894 9.020454] [38.843894 9.020454] [38.843894 9.020454,CMC,True
38.7631837,9.0520872,Mon Jul 19 16:32:41 +0000 2021,Just posted a photo @ Nu Chika Enabuka https://t.co/HxnHqGMZKK,NEnabuka,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.763427,9.032626,Mon Jul 19 18:22:03 +0000 2021,Exactly 🙄😂,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.687083,9.005566,Mon Jul 19 18:45:26 +0000 2021,“Workneh Abebe 52 years old have worked at #GERD as a Joyner &amp; concrete frame work since the beginning of the Afri… https://t.co/mfWch2pjhT,AbenezerGeberie,38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566] [38.687083 9.005566,Morning Coffee Guesthouse,True
38.76356363,9.03501091,Mon Jul 19 19:59:02 +0000 2021,Colour day in my school.....🤪🏩🤩 @ Menelik II High School https://t.co/wcoKYI6yaA,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.76356363,9.03501091,Mon Jul 19 19:59:20 +0000 2021,Last exam day.....😋 @ Menelik II High School https://t.co/bX8lBFWOMq,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Mon Jul 19 19:59:45 +0000 2021,TODAY'S MY B-DAY🥳AND IT'S GOINGTO BE EPIC !17 YEARS204 MONTHS6209 DAYS149016 HOURS8940960 MINUTES53645… https://t.co/lH6bM5TUzF,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.76356363,9.03501091,Mon Jul 19 20:00:04 +0000 2021,I'm enjoying my day..... @ Menelik II High School https://t.co/MvcrszDVbd,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.76356363,9.03501091,Mon Jul 19 20:00:20 +0000 2021,Thank u so much for being with me on my always important day...... @ Menelik II High School https://t.co/Q67ZJjr7Rl,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.76356363,9.03501091,Mon Jul 19 20:00:28 +0000 2021,📸 shots at school ...... @ Menelik II High School https://t.co/6yCVKsHfp7,Ambrosi85248375,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.763427,9.032626,Tue Jul 20 10:36:37 +0000 2021,😭🤣🤣 https://t.co/8dJwDvikbU,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.763427,9.032626,Tue Jul 20 10:40:54 +0000 2021,Even higher than my grades cool 😳😳👌,yareddoe,38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626] [38.763427 9.032626,Arat kilo,True
38.72914,8.995609,Tue Jul 20 15:14:38 +0000 2021,G+2 House for rent at FIGA CMC https://t.co/udxqeCwjJ4,NafakiL,38.72914 8.995609] [38.72914 8.995609] [38.72914 8.995609] [38.72914 8.995609,Al-Wadi Arabian Restaurant,True
38.7448881,8.9927615,Tue Jul 20 16:37:26 +0000 2021,The #Pfdj warmogering is salute by many #Eritrea'ns n so the #Tplf racialism by Tigray'ns. There is no solution for this disaster. #Ethiopia,MediAlem,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.715797,9.064886,Tue Jul 20 18:38:58 +0000 2021,To all muslim a Happy Eid al adha arfa celebrate . https://t.co/FmZDvJKOk0,antenehh20,38.715797 9.064886] [38.715797 9.064886] [38.715797 9.064886] [38.715797 9.064886,Gulele Botanical Garden,True
38.7653,8.995,Tue Jul 20 21:24:20 +0000 2021,Just posted a photo @ Fiyel Bet https://t.co/vg76mPbvTB,Brookyirga,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.76781,9.016269,Wed Jul 21 06:24:12 +0000 2021,Together One. Discussing the merger of @Cordaid and @iccotweet. https://t.co/eD9nxnQmgw,CordaidEth,38.76781 9.016269] [38.76781 9.016269] [38.76781 9.016269] [38.76781 9.016269,Radisson Blu Hotel Addis Ababa,True
38.76781,9.016269,Wed Jul 21 06:34:43 +0000 2021,Together One Celebrating the merger of @CordaidEth and @iccotweet #CareActShareLikeCordaid.  https://t.co/w8nQaep54I,CordaidEth,38.76781 9.016269] [38.76781 9.016269] [38.76781 9.016269] [38.76781 9.016269,Radisson Blu Hotel Addis Ababa,True
38.7653,8.995,Wed Jul 21 15:04:53 +0000 2021,تهنئة من القلب الاعز ناسعلى القلب عيد الأضحى المبارك عليكموجميعنا راحة بال وصحة وعافية وسعادةكل عام وانتم بألف خ… https://t.co/O44K5mYO0V,Pilot_Buay,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.7653,8.995,Wed Jul 21 17:14:43 +0000 2021,Just posted a photo @ Addis Ababa Ethiopia https://t.co/k9nyJdqf95,BinyAdenew,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.760031,8.977301,Thu Jul 22 00:34:11 +0000 2021,@AbiyAhmedAli የኛ ጀግናችን እግዚአብሔር ጤና ሠላም ፍቅር ይስጥህ,fitsum_tamrat75,38.760031 8.977301] [38.760031 8.977301] [38.760031 8.977301] [38.760031 8.977301,Choice,True
38.796152,8.983055,Thu Jul 22 03:43:40 +0000 2021,エチオピア🇪🇹に到着！ https://t.co/rB9roNzu7u,toshiharu1108,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
38.796152,8.983055,Thu Jul 22 04:34:53 +0000 2021,さすが、コーヒー発祥の地・エチオピア！空港内に「カリオモン」☕️！ https://t.co/GxbYuQZ9I9,toshiharu1108,38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055] [38.796152 8.983055,Addis Ababa Bole International Airport,True
38.694955,9.066656,Thu Jul 22 04:37:44 +0000 2021,@ArayaTesfamari1 O my god this krezy groups we must destroy them in short timeBefote they bring all kids as ashenda ashendye,Getinet73370858,38.694955 9.066656] [38.694955 9.066656] [38.694955 9.066656] [38.694955 9.066656,Asko Transport Authority,True
38.769663,9.016141,Thu Jul 22 07:37:22 +0000 2021,Join ushttps://t.co/BDOvDZpFLu https://t.co/cxI0kW7NMzEgre Menged እግረ መንገድ is a community based casual biking/c… https://t.co/vgT6UwiS3N,EphremBWill,38.769663 9.016141] [38.769663 9.016141] [38.769663 9.016141] [38.769663 9.016141,Intercontinental Hotel - Rooftop Pool & Bar,True
38.662817,8.918909,Thu Jul 22 09:56:07 +0000 2021,https://t.co/hGgpvSa39u,SisayGi53074652,38.662817 8.918909] [38.662817 8.918909] [38.662817 8.918909] [38.662817 8.918909,Ayka Addis,True
38.7636901,9.0335043,Thu Jul 22 10:02:03 +0000 2021,Ericsson is hiring in #AddisAbaba Addis Ababa! Click the link in our bio to apply: Solution Architect Packet Core #Engineering,tmj_eth_jobs,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.788196,8.992025,Thu Jul 22 10:30:37 +0000 2021,Ethiopia is the largest coffee producer in Africa and the fifth largest producer in the world and accounts for 4.2%… https://t.co/D5sUKi1be3,HotelEthiopia,38.788196 8.992025] [38.788196 8.992025] [38.788196 8.992025] [38.788196 8.992025,Ambassador Hotel,True
38.788196,8.992025,Thu Jul 22 10:35:19 +0000 2021,Ethiopia is the largest coffee producer in Africa and the fifth largest producer in the world and accounts for 4.2%… https://t.co/elo7RfJYAB,HotelEthiopia,38.788196 8.992025] [38.788196 8.992025] [38.788196 8.992025] [38.788196 8.992025,Ambassador Hotel,True
38.747201,9.019106,Thu Jul 22 11:29:57 +0000 2021,https://t.co/ClEtLpiCcx,BanteyihunMeng1,38.747201 9.019106] [38.747201 9.019106] [38.747201 9.019106] [38.747201 9.019106,tikur anbesa hospital,True
38.7653,8.995,Thu Jul 22 14:18:29 +0000 2021,#TBT #BlackAndWhite ⚫⚪@adonias_mengistu @ Addis Ababa Ethiopia https://t.co/T5zP624nFH,YafHen,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]],Ethiopia,False
38.785616,8.995225,Thu Jul 22 14:54:47 +0000 2021,Soft weather and afternoon tea at Bole medhanialim https://t.co/TcxYLHcdZa,KaderShik,38.785616 8.995225] [38.785616 8.995225] [38.785616 8.995225] [38.785616 8.995225,Cupcake Delight,True
