date,user,coordinates,text,place,bounding_box
Thu Jul 15 15:46:28 +0000 2021,ante02812599,no coordinates,@AbebeTemesgenA4 @frey05961547 @veronica_melaku ትክክለኛ ጥቅስ ሼር ትደረግ,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:47:07 +0000 2021,Ketema35741234,no coordinates,Yes it is back to Amhara.come and fight for the terrorist group.Till then keep on wiping.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:47:45 +0000 2021,Turufat1,no coordinates,We should show solidarity against Westerns to save our country!We ready to internal and external enemies.Victory to Ethiopians!!,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:47:55 +0000 2021,ante02812599,no coordinates,https://t.co/XjdDtvuu7J,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:49:50 +0000 2021,MatusalaGirum,no coordinates,Gluteus_Maximus is located in the hip but causes rotation of neck...,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:50:07 +0000 2021,BediluYohannes2,no coordinates,@reda_getachew  አንተ ብኩን ለትግሬ ምኑም አይደለህም ለማንኛውም በአሁን ሰዓት ይህ ልጅ ሞቷል ከንቱ ፉከራ https://t.co/gFvFAt5Sca,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:56:58 +0000 2021,BlessSolomon3,no coordinates,TPLF went from crying to stop the war to recruiting #ChildSoldiers. These terrorists and their sympathizers must be… https://t.co/sjh6Spix98,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 15:57:28 +0000 2021,Manny29384229,no coordinates,😍😍 https://t.co/b9O8DaBTgb,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:00:14 +0000 2021,Kalab24453215,no coordinates,https://t.co/DKayM3ghIC,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:01:40 +0000 2021,mahommudjigjiga,no coordinates,@carrol_sonie https://t.co/2kgp6pRLYa,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:01:50 +0000 2021,Kalab24453215,no coordinates,@BBCWorld https://t.co/O4JYrCFwBL,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:02:32 +0000 2021,Kalab24453215,no coordinates,@selinawangtv @CNN https://t.co/ziuTye6c9c,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:02:44 +0000 2021,joanmescala,no coordinates,Atravessar tot Hawassa (Etiopia 🇸🇳) ciutat caòtica a nivell de tràfic en Moto 🛵 de Copilot i SENSE Casc ha est… https://t.co/EAHome2Huq,Etiopía,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:03:21 +0000 2021,Dawit7411,no coordinates,@hee_bie_jeebies @Reuters @nytimes @CNN @BBCWorld You're right. They exposed themselves.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:03:24 +0000 2021,thegreendiva,no coordinates,@MuGwaShamim Stay safeHon!,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:03:44 +0000 2021,Ketema35741234,no coordinates,@martinplaut Yes it is back to Amhara.come and fight for the terrorist group.Till then keep on crying.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:13:23 +0000 2021,Ketema35741234,no coordinates,There is no tolerance and space for terrorist agents in our beloved country.,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:13:50 +0000 2021,dr_zelalem,no coordinates,https://t.co/CyN538yQ7x@israel_hailu @schitekwe @HDarsene @ETLeadNutrition @ProfTefera,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:15:10 +0000 2021,BiruhG,no coordinates,@haileabgm Good point 🤣🤣,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:15:42 +0000 2021,Odaw_g,no coordinates,@EUinEthiopia @addisstandard @EthMediaAuth @CPJAfrica @angelaquintal @RSF_inter @AfricaMediaHub @YonatanTR At least… https://t.co/ujs1G2ynGG,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:15:51 +0000 2021,BarokBab,no coordinates,@SelamLeEthiop11 @DavidAltonHL Do you mean the ones that took out the ‘finest’ ENDF forces out of most Tigray? Don’… https://t.co/K6v1iv5phB,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:15:57 +0000 2021,BlessSolomon3,no coordinates,#BlinkenSoWoyane https://t.co/iXhqLvie9q,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:17:28 +0000 2021,BediluYohannes2,no coordinates,Please Mr Antony Bilken or Us foreign minister  be with your normal condition. Leave Ethiopia to practice the sover… https://t.co/8N7I711XzG,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:18:13 +0000 2021,Addisu94114541,no coordinates,#BlinkenSoWoyane https://t.co/53xGXsA9gz,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:22:21 +0000 2021,ina_galayr,no coordinates,Are you spreading a rumor or have proof nonetheless would you fight the TPLF gang outside the Somali region with o… https://t.co/XkqMyvHZqy,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:22:28 +0000 2021,ethiosamtam,no coordinates,@dag_doni 👌👌👌,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:23:04 +0000 2021,Dawit7411,no coordinates,@Sassywagi You're spot on Sassy; in fact they were the first to share that fake news in the middle of the night and never apologized for it,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:25:41 +0000 2021,joanmescala,no coordinates,@EloyDoceChambre Ha sido por necesidad y me lo he pensado pero la alternativa me convencía menos. Llegar al desti… https://t.co/MbU55Gy9Op,Etiopía,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
Thu Jul 15 16:27:53 +0000 2021,Dawit7411,no coordinates,@MeronDumo @addisstandard @EthMediaAuth @CPJAfrica @angelaquintal @RSF_inter @EUinEthiopia @AfricaMediaHub… https://t.co/Lx9MQZ9fhi,Ethiopia,[[[32.997691 3.404962] [32.997691 14.894214] [47.999477 14.894214] [47.999477 3.404962]]]
