Latitude,Longitude
38.780604,9.017265
38.849151,9.033474
38.763427,9.032626
38.687083,9.005566
38.777748,8.981451
38.73694444,9.02722222
38.796152,8.983055
38.7653,8.995
38.74716,9.012377
38.749062,9.020235
38.758923,8.924754
38.806146,9.007249
38.7653,8.995
38.796152,8.983055
38.766575,9.016767
38.738176,9.084274
38.763427,9.032626
38.73538971,9.03264806
38.777748,8.981451
38.79615249,8.98305534
38.73694444,9.02722222
38.763427,9.032626
38.796152,8.983055
38.763427,9.032626
38.763427,9.032626
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.763427,9.032626
38.7653,8.995
38.7653,8.995
38.851749,9.030887
38.7653,8.995
38.7577605,8.9806034
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.75241,9.035823
38.760003,9.020304
38.7653,8.995
38.7653,8.995
38.716933,9.005832
38.7653,8.995
38.79144,8.99267
38.7653,8.995
38.843894,9.020454
38.7631837,9.0520872
38.763427,9.032626
38.687083,9.005566
38.76356363,9.03501091
38.76356363,9.03501091
38.7653,8.995
38.76356363,9.03501091
38.76356363,9.03501091
38.76356363,9.03501091
38.763427,9.032626
38.763427,9.032626
38.72914,8.995609
38.7448881,8.9927615
38.715797,9.064886
38.7653,8.995
38.76781,9.016269
38.76781,9.016269
38.7653,8.995
38.7653,8.995
38.760031,8.977301
38.796152,8.983055
38.796152,8.983055
38.694955,9.066656
38.769663,9.016141
38.662817,8.918909
38.7636901,9.0335043
38.788196,8.992025
38.788196,8.992025
38.747201,9.019106
38.7653,8.995
38.785616,8.995225
38.796152,8.983055
38.7653,8.995
38.77119037,9.03521982
38.7653,8.995
38.763427,9.032626
38.78274,8.991954
38.687083,9.005566
38.7653,8.995
38.843894,9.020454
38.763427,9.032626
38.801307,9.019796
38.7653,8.995
38.761359,9.010246
38.715797,9.064886
38.7653,8.995
38.72729618,8.98645594
38.796152,8.983055
38.73796947,9.04098667
38.7577605,8.9806034
38.806146,9.007249
38.817703,9.006912
38.87745,9.029565
38.796152,8.983055
38.763427,9.032626
38.7653,8.995
38.7653,8.995
38.787247,8.995573
38.7653,8.995
38.766795,9.005146
38.7653,8.995
38.761842,9.044001
38.761842,9.044001
38.7653,8.995
38.761842,9.044001
38.73694444,9.02722222
38.7653,8.995
38.7666572,9.01703236
38.737724,8.937392
38.739094,8.995062
38.788196,8.992025
38.760003,9.020304
38.7631837,9.0520872
38.7631837,9.0520872
38.755269,9.038552
38.7583,9.04643
38.7583,9.04643
38.781032,9.011652
38.796152,8.983055
38.7583,9.04643
38.768349,9.016377
38.72990675,8.99768145
38.72990675,8.99768145
38.76277,9.032298
38.779698,9.013346
38.7636901,9.0335043
38.7653,8.995
38.804265,8.992221
38.755486,9.006501
38.788196,8.992025
38.788196,8.992025
38.7653,8.995
38.7653,8.995
38.738176,9.084274
38.787625,8.989785
38.73694444,9.02722222
38.796152,8.983055
38.796152,8.983055
38.796398,8.983238
38.73694444,9.02722222
38.7415,9.030292
38.7415,9.030292
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.7653,8.995
38.76769,9.016518
38.788196,8.992025
38.71553,8.96148
38.7631837,9.0520872
38.73694444,9.02722222
38.752022,9.022221
38.849151,9.033474
38.849151,9.033474
38.849151,9.033474
38.7653,8.995
38.7653,8.995
38.78274,8.991954
38.788196,8.992025
38.716768,9.040375
38.7631837,9.0520872
38.805613,9.00747
38.716933,9.005832
38.796152,8.983055
38.762865,9.040069
38.762865,9.040069
38.7653,8.995
38.769622,9.016263
38.7653,8.995
38.763582,9.023067
